price,carat,cut,color,clarity,length_mm,width_mm
561,0.32,Ideal,G,VS,4.37,4.4
8127,1.5,Very Good,I,SI,7.46,7.43
839,0.41,Very Good,H,VVS,4.75,4.87
8831,1.55,Ideal,I,VS,7.35,7.41
695,0.31,Ideal,G,VS,4.38,4.34
3909,0.9,Very Good,G,SI,6.2,6.24
1056,0.43,Ideal,D,VS,4.81,4.86
3089,0.73,Ideal,G,SI,5.81,5.85
958,0.5,Premium,H,SI,5.14,5.05
4184,1,Good,E,SI,6.45,6.5
10609,1.23,Very Good,F,VS,6.98,7.01
3382,0.92,Good,I,SI,6.14,6.18
1172,0.4,Ideal,D,VS,4.72,4.74
16052,1.56,Ideal,G,VS,7.48,7.44
3796,0.91,Good,D,SI,6.06,6.09
1429,0.55,Ideal,G,SI,5.3,5.36
561,0.32,Premium,G,VS,4.36,4.39
3808,0.96,Premium,I,VS,6.47,6.4
10584,1.5,Very Good,H,VS,7.29,7.25
3459,0.72,Premium,D,VVS,5.92,5.84
1956,0.53,Ideal,D,VS,5.17,5.14
6223,1,Good,F,VS,6.32,6.36
489,0.31,Ideal,H,VS,4.36,4.39
4689,1.13,Very Good,H,SI,6.65,6.62
2863,0.71,Premium,D,SI,5.8,5.68
1832,0.53,Ideal,F,VS,5.23,5.21
10226,1.37,Very Good,G,VS,7.3,7.35
1050,0.4,Premium,G,VVS,4.76,4.73
2724,0.56,Very Good,E,IF,5.31,5.38
1682,0.55,Good,F,VS,5.3,5.35
571,0.35,Ideal,I,VS,4.54,4.57
436,0.31,Ideal,I,SI,4.37,4.4
4719,1.01,Very Good,G,SI,6.5,6.59
605,0.3,Very Good,G,VS,4.24,4.3
9593,1.52,Very Good,J,VVS,7.26,7.33
6787,1.01,Premium,E,VS,6.39,6.36
12987,2,Premium,E,SI,8.15,8.08
5363,1.26,Ideal,I,SI,7,6.94
2999,0.7,Premium,G,VVS,5.74,5.66
2838,0.7,Premium,F,VS,5.85,5.75
6129,1.2,Premium,H,SI,6.91,6.78
9640,1.51,Very Good,I,VS,7.34,7.28
1081,0.31,Ideal,H,IF,4.42,4.4
1694,0.52,Premium,E,VS,5.16,5.14
2527,0.73,Ideal,F,SI,5.88,5.86
2886,0.73,Ideal,E,SI,5.79,5.81
4123,1.13,Fair,J,SI,6.49,6.56
1321,0.51,Ideal,G,SI,5.11,5.17
5676,1.28,Ideal,H,SI,7,6.97
6653,1.1,Premium,G,VS,6.75,6.71
3755,0.77,Ideal,D,VS,5.9,5.84
4227,1.02,Fair,F,SI,6.59,6.51
17182,2.03,Ideal,G,SI,8.16,8.21
2573,0.7,Ideal,G,VS,5.74,5.69
4234,0.9,Premium,H,VS,6.32,6.28
11338,1.52,Very Good,G,VS,7.32,7.27
3890,0.9,Very Good,H,VS,6.18,6.22
653,0.31,Good,D,VS,4.32,4.34
650,0.3,Ideal,H,VVS,4.25,4.28
7415,1.04,Ideal,G,VS,6.59,6.54
4838,1.2,Premium,I,SI,6.82,6.77
4844,1.01,Fair,E,SI,6.13,6.19
1076,0.41,Ideal,G,VVS,4.77,4.76
603,0.3,Premium,F,SI,4.37,4.3
4770,0.9,Good,F,VS,6.04,6.1
5576,1.11,Very Good,J,VS,6.8,6.77
7869,1.2,Ideal,H,VS,6.77,6.82
5331,1.19,Ideal,I,SI,6.73,6.69
3454,0.78,Ideal,D,SI,5.91,5.94
670,0.3,Ideal,E,VS,4.28,4.31
4395,1.09,Premium,H,SI,6.63,6.58
11119,2.34,Very Good,H,I,8.44,8.51
1433,0.43,Premium,E,VVS,4.92,4.96
1123,0.4,Ideal,G,VVS,4.74,4.78
480,0.27,Ideal,H,VS,4.16,4.19
4078,1.03,Ideal,I,SI,6.49,6.53
5152,1,Premium,F,SI,6.39,6.34
6973,1.36,Ideal,J,VVS,7.16,7.13
1609,0.55,Ideal,E,SI,5.24,5.28
599,0.26,Very Good,E,VVS,4.06,4.08
462,0.31,Very Good,D,SI,4.3,4.34
8283,1.41,Very Good,H,SI,7.08,7.14
5247,1.2,Very Good,F,SI,6.7,6.77
1041,0.3,Ideal,F,VVS,4.32,4.34
994,0.5,Fair,F,SI,5.01,4.91
619,0.36,Ideal,D,SI,4.58,4.63
3002,0.73,Fair,F,VS,5.92,5.88
3005,0.75,Very Good,E,SI,5.85,5.9
978,0.52,Good,I,SI,5.05,5.1
911,0.3,Ideal,D,VS,4.31,4.28
815,0.29,Very Good,F,IF,4.35,4.37
2234,0.7,Very Good,G,SI,5.68,5.71
1650,0.54,Premium,D,SI,5.21,5.12
6970,1.09,Ideal,H,SI,6.61,6.64
1245,0.53,Ideal,H,SI,5.24,5.28
1635,0.5,Good,D,VS,5.04,5.09
6368,1.04,Ideal,H,VS,6.5,6.52
5395,1.25,Ideal,I,SI,6.92,6.99
9618,1.71,Ideal,H,VS,7.67,7.61
1721,0.53,Ideal,E,VS,5.19,5.22
901,0.31,Ideal,F,IF,4.34,4.38
4116,1.05,Premium,G,SI,6.57,6.53
4602,1.06,Ideal,H,SI,6.64,6.61
4830,1.07,Ideal,H,SI,6.51,6.56
1114,0.33,Ideal,G,VVS,4.45,4.42
8690,1.71,Very Good,J,SI,7.58,7.64
505,0.32,Ideal,H,VS,4.4,4.44
653,0.42,Very Good,E,SI,4.86,4.9
1429,0.52,Ideal,E,SI,5.15,5.11
645,0.32,Ideal,G,VS,4.42,4.45
10680,1.7,Very Good,I,SI,7.52,7.58
687,0.3,Ideal,G,VVS,4.26,4.3
4580,0.94,Premium,E,SI,6.44,6.37
1037,0.43,Good,H,VVS,4.84,4.9
4496,1,Premium,E,SI,6.34,6.41
9714,1.76,Ideal,I,SI,7.79,7.76
7217,1.33,Ideal,H,SI,7.04,6.99
8427,1.5,Very Good,J,VVS,7.28,7.25
1998,0.79,Premium,H,SI,5.98,5.94
3068,0.7,Very Good,E,VS,5.63,5.66
1668,0.55,Ideal,E,SI,5.27,5.23
2573,0.84,Premium,G,SI,6.01,5.98
575,0.25,Very Good,F,VVS,4.02,4.05
6742,1.47,Premium,I,SI,7.34,7.24
8690,1.71,Premium,J,SI,7.63,7.7
3710,0.71,Ideal,F,VS,5.72,5.75
1040,0.42,Ideal,D,SI,4.81,4.77
4596,0.76,Ideal,F,IF,5.95,5.96
438,0.3,Ideal,I,VS,4.32,4.35
6372,1.29,Ideal,I,SI,6.97,7.03
6917,1.15,Premium,H,VVS,6.9,6.87
2878,0.79,Very Good,D,SI,6,6.07
11572,1.21,Ideal,G,VVS,6.83,6.89
14242,1.5,Very Good,F,VS,7.33,7.36
4040,1.13,Premium,E,SI,6.83,6.78
3514,0.81,Ideal,H,SI,5.92,5.97
3283,0.72,Ideal,E,VS,5.74,5.77
5849,1.03,Premium,H,VS,6.55,6.52
574,0.34,Premium,F,SI,4.58,4.55
1951,0.69,Very Good,F,SI,5.59,5.66
2065,0.62,Premium,F,VS,5.5,5.47
854,0.33,Ideal,G,VS,4.45,4.41
666,0.33,Very Good,F,VS,4.45,4.5
1303,0.61,Good,I,VS,5.42,5.46
4405,1.15,Very Good,I,SI,6.69,6.73
2968,0.71,Premium,D,VS,5.88,5.85
461,0.24,Very Good,F,VS,4.02,4.07
1669,0.54,Ideal,F,SI,5.22,5.23
970,0.39,Ideal,F,VS,4.69,4.73
1833,0.52,Very Good,G,VVS,5.08,5.11
552,0.35,Premium,I,VS,4.52,4.58
5715,1.27,Very Good,H,SI,6.97,7
817,0.36,Ideal,F,VVS,4.58,4.61
12923,1.98,Fair,H,VS,8.28,8.17
2188,0.71,Very Good,H,SI,5.72,5.76
1063,0.35,Ideal,D,VS,4.52,4.48
4956,1,Ideal,D,SI,6.45,6.41
5390,1.21,Ideal,J,SI,6.79,6.84
625,0.31,Premium,F,VS,4.29,4.34
1076,0.41,Ideal,G,VVS,4.8,4.83
429,0.31,Ideal,J,VS,4.34,4.36
4029,0.71,Ideal,D,VS,5.72,5.76
6998,1.01,Good,D,VS,6.28,6.35
710,0.3,Ideal,E,VS,4.33,4.36
4103,0.9,Very Good,F,SI,6.17,6.12
4214,1.13,Premium,J,SI,6.77,6.67
9808,1.07,Very Good,F,VVS,6.57,6.65
4118,1.01,Ideal,I,VS,6.43,6.38
7168,1,Premium,E,VS,6.25,6.22
1761,0.56,Ideal,F,VS,5.28,5.3
833,0.38,Premium,G,VS,4.67,4.71
5836,1.24,Very Good,I,VS,6.82,6.87
3605,0.79,Ideal,E,VS,5.91,5.94
1170,0.48,Premium,F,SI,5.05,5
5315,1.11,Premium,H,SI,6.63,6.56
14323,2,Ideal,J,VS,8.08,8.13
470,0.27,Ideal,D,VS,4.19,4.21
2167,0.61,Ideal,G,VS,5.42,5.44
6047,1,Premium,F,VS,6.45,6.36
800,0.32,Ideal,F,VVS,4.37,4.39
447,0.3,Good,D,SI,4.26,4.3
791,0.41,Very Good,D,SI,4.7,4.75
3787,0.9,Fair,F,SI,6.01,6.06
17716,2,Premium,I,VS,8.11,8.04
5027,1.12,Premium,I,VS,6.63,6.68
1758,0.51,Ideal,E,VS,5.11,5.16
435,0.31,Very Good,H,SI,4.36,4.39
485,0.24,Very Good,E,VVS,3.94,3.96
1144,0.56,Very Good,H,SI,5.4,5.43
1786,0.54,Ideal,D,SI,5.25,5.21
756,0.32,Ideal,D,SI,4.42,4.37
1026,0.38,Ideal,F,VS,4.66,4.63
3886,1.05,Premium,E,SI,6.51,6.44
2213,0.7,Very Good,H,SI,5.62,5.66
1158,0.4,Ideal,E,VVS,4.74,4.76
948,0.42,Ideal,D,VS,4.76,4.8
844,0.3,Ideal,E,VS,4.29,4.24
3210,0.79,Ideal,F,SI,5.98,6.05
1176,0.38,Ideal,E,VVS,4.72,4.67
2122,0.71,Ideal,H,SI,5.68,5.76
8736,1.25,Premium,G,VS,7.03,6.92
1123,0.4,Ideal,G,VVS,4.72,4.76
4250,1.12,Premium,H,SI,6.63,6.58
4961,1,Good,F,SI,6.55,6.58
1235,0.42,Ideal,D,VS,4.82,4.78
478,0.24,Very Good,E,VVS,4.12,4.13
9921,1.23,Ideal,G,VVS,6.8,6.87
4493,0.9,Good,F,VS,6.1,6.14
5509,1.16,Ideal,H,SI,6.78,6.79
814,0.3,Ideal,D,VVS,4.3,4.32
10796,1.7,Good,I,SI,7.72,7.77
9298,1.39,Ideal,H,VVS,7.23,7.25
12842,2.06,Premium,I,SI,8.3,8.24
4643,1.35,Ideal,G,I,7.04,7.01
1926,0.48,Ideal,F,VVS,4.99,5.04
5219,1.09,Ideal,H,SI,6.61,6.58
8574,1.51,Ideal,I,SI,7.31,7.27
7326,1.11,Ideal,E,VS,6.59,6.66
608,0.28,Very Good,E,VVS,4.31,4.34
5050,1.13,Ideal,H,SI,6.73,6.66
5559,1.01,Premium,F,SI,6.54,6.49
2657,0.7,Good,E,VS,5.46,5.54
3531,0.91,Very Good,G,SI,6.27,6.32
15032,2.19,Premium,I,SI,8.34,8.38
7797,1.19,Premium,G,VS,6.86,6.81
4204,1,Good,F,SI,6.32,6.36
7433,1.52,Fair,H,SI,7.24,7.19
2737,0.72,Ideal,F,SI,5.78,5.82
988,0.39,Ideal,F,VVS,4.7,4.73
1056,0.37,Ideal,G,IF,4.63,4.66
2581,0.73,Ideal,E,SI,5.88,5.86
710,0.3,Ideal,D,VS,4.3,4.33
702,0.32,Premium,E,VS,4.38,4.41
1318,0.53,Premium,D,SI,5.29,5.26
3665,1.01,Good,J,SI,6.44,6.36
1660,0.52,Good,E,VS,5.16,5.09
4727,1.01,Very Good,D,SI,6.43,6.49
4702,1.14,Premium,H,SI,6.77,6.8
4137,0.9,Premium,G,VS,6.19,6.14
844,0.38,Ideal,F,SI,4.7,4.74
526,0.3,Very Good,E,SI,4.23,4.28
8580,1.5,Very Good,G,SI,7.33,7.36
675,0.3,Ideal,G,VS,4.35,4.31
3756,1.01,Good,J,SI,6.42,6.46
6184,1.22,Premium,H,VS,6.82,6.81
3276,0.9,Premium,I,VS,6.35,6.29
3713,1.02,Ideal,H,SI,6.4,6.34
7473,1.11,Ideal,F,VS,6.65,6.67
9896,1.26,Premium,F,VS,6.86,6.93
625,0.31,Ideal,G,VS,4.36,4.38
2718,0.91,Ideal,F,SI,6.19,6.17
2125,0.7,Fair,E,SI,5.49,5.41
1640,0.51,Very Good,E,VS,5.13,5.07
10300,1.52,Premium,I,VS,7.51,7.44
16235,2.06,Ideal,G,SI,8.13,8.04
17820,2.16,Ideal,H,SI,8.3,8.38
4309,0.9,Good,F,VS,6.06,6.11
638,0.41,Very Good,D,SI,4.72,4.75
9621,1.37,Ideal,H,VVS,7.13,7.2
2879,1.02,Ideal,J,SI,6.53,6.5
720,0.32,Ideal,G,VS,4.41,4.39
3992,0.9,Good,F,SI,6.09,6.06
12830,1.72,Ideal,G,VS,7.65,7.58
872,0.36,Very Good,F,VVS,4.58,4.6
1433,0.57,Very Good,G,SI,5.32,5.35
949,0.4,Premium,E,VS,4.79,4.68
1061,0.41,Premium,G,VS,4.83,4.81
764,0.3,Ideal,H,IF,4.31,4.33
3127,0.73,Premium,E,VS,5.79,5.75
17216,1.41,Premium,D,VVS,7.28,7.23
4427,1.04,Very Good,F,SI,6.5,6.57
11263,1.51,Fair,H,VS,7.63,7.57
15851,1.5,Ideal,F,VS,7.34,7.3
6480,1.01,Very Good,E,VS,6.34,6.4
936,0.32,Ideal,G,VVS,4.38,4.34
1924,0.44,Ideal,E,VVS,4.91,4.94
798,0.35,Premium,H,VVS,4.51,4.57
2327,0.74,Very Good,I,VS,5.83,5.85
1008,0.39,Ideal,G,VS,4.66,4.69
3376,0.71,Ideal,E,SI,5.73,5.77
11255,1.51,Ideal,G,SI,7.3,7.27
1131,0.54,Good,H,SI,5.31,5.22
1841,0.55,Ideal,G,VS,5.27,5.31
3759,0.72,Ideal,F,VS,5.79,5.87
1571,0.52,Ideal,E,VS,5.16,5.22
1207,0.43,Ideal,D,VS,4.85,4.87
603,0.37,Ideal,I,VS,4.62,4.66
1346,0.57,Very Good,F,SI,5.32,5.37
2815,0.55,Very Good,D,VVS,5.23,5.27
6535,2.21,Premium,H,I,8.31,8.27
3484,1.01,Good,I,VS,6.35,6.27
2298,0.7,Ideal,H,SI,5.67,5.72
15392,2.07,Premium,I,SI,8.35,8.31
558,0.25,Premium,E,VS,4.13,4.11
7187,1.5,Fair,H,SI,7.14,7.11
1904,0.5,Very Good,G,VVS,5.05,5.09
942,0.31,Ideal,D,VS,4.35,4.34
7773,1.49,Very Good,G,SI,7.2,7.26
896,0.52,Ideal,J,SI,5.15,5.17
494,0.32,Ideal,J,VVS,4.41,4.43
4989,1.01,Good,F,SI,6.58,6.51
1810,0.51,Ideal,G,VVS,5.09,5.14
687,0.4,Very Good,E,SI,4.68,4.72
576,0.32,Premium,H,SI,4.41,4.38
4331,1.05,Ideal,H,SI,6.54,6.59
5739,1.22,Premium,D,SI,6.84,6.8
6931,1.03,Very Good,G,VS,6.5,6.54
764,0.3,Ideal,H,IF,4.36,4.37
928,0.33,Ideal,E,VS,4.47,4.45
5019,0.71,Ideal,F,VVS,5.75,5.78
2868,0.72,Ideal,I,VS,5.72,5.75
647,0.34,Ideal,H,SI,4.53,4.55
2568,0.6,Ideal,H,VVS,5.44,5.47
15797,1.7,Premium,G,VS,7.8,7.85
4138,0.91,Premium,E,SI,6.23,6.19
7507,1.01,Premium,F,VS,6.43,6.4
1155,0.44,Ideal,D,VS,4.95,4.91
847,0.42,Ideal,G,VS,4.79,4.84
4656,1.08,Premium,E,SI,6.57,6.62
911,0.3,Premium,D,VS,4.27,4.22
791,0.4,Very Good,E,VS,4.7,4.73
863,0.3,Ideal,G,IF,4.32,4.35
1000,0.41,Ideal,G,VVS,4.76,4.79
6086,1.19,Very Good,H,VS,6.81,6.83
924,0.31,Ideal,G,IF,4.34,4.38
631,0.33,Very Good,G,SI,4.44,4.39
815,0.37,Ideal,H,VVS,4.63,4.66
12465,1.28,Ideal,E,VS,6.94,6.99
4232,1.07,Good,F,SI,6.64,6.68
936,0.32,Premium,G,VVS,4.41,4.39
893,0.33,Ideal,F,VVS,4.45,4.48
1689,0.52,Ideal,E,VS,5.2,5.27
873,0.41,Good,D,VS,4.74,4.79
6830,1.32,Good,E,SI,6.96,6.88
4478,1.12,Very Good,G,SI,6.7,6.63
882,0.42,Premium,G,SI,4.85,4.82
10787,1.26,Ideal,G,VVS,7.02,6.98
579,0.33,Premium,E,SI,4.43,4.47
4969,1.11,Ideal,E,SI,6.7,6.74
608,0.3,Very Good,I,VS,4.23,4.2
776,0.3,Premium,H,VVS,4.37,4.34
4207,1.02,Good,H,SI,6.37,6.43
758,0.32,Ideal,D,VS,4.37,4.41
2128,0.54,Very Good,G,IF,5.19,5.27
1061,0.41,Good,J,IF,4.75,4.72
886,0.3,Ideal,F,IF,4.29,4.32
1584,0.55,Ideal,H,SI,5.3,5.33
3415,0.76,Very Good,E,VS,5.84,5.89
10615,1.03,Ideal,F,IF,6.45,6.46
2507,0.7,Very Good,G,VS,5.67,5.78
3045,0.71,Very Good,F,VS,5.73,5.77
2973,0.81,Very Good,E,SI,6.05,6.09
3061,0.7,Very Good,E,VS,5.72,5.77
8674,1.52,Fair,H,VS,7.33,7.13
1024,0.42,Ideal,E,VS,4.82,4.8
4887,1.01,Ideal,I,VS,6.52,6.54
16323,2.02,Premium,G,SI,8.07,7.96
1113,0.57,Ideal,I,SI,5.36,5.38
2367,0.62,Very Good,H,IF,5.52,5.55
2041,0.54,Ideal,D,VS,5.25,5.23
988,0.51,Ideal,J,VS,5.14,5.18
13250,1.73,Ideal,I,VS,7.7,7.65
2854,1.12,Premium,H,I,6.78,6.75
1225,0.56,Premium,F,SI,5.44,5.38
1246,0.54,Ideal,E,SI,5.27,5.33
3669,0.9,Good,G,SI,6.08,6.05
7808,1.13,Ideal,G,VS,6.7,6.75
5773,1.1,Premium,E,SI,6.62,6.55
745,0.37,Ideal,G,SI,4.62,4.64
7098,1.5,Premium,G,SI,7.34,7.28
742,0.3,Ideal,D,VS,4.27,4.3
10362,1.57,Ideal,E,SI,7.44,7.52
818,0.41,Very Good,E,SI,4.73,4.69
17329,1.58,Ideal,G,IF,7.45,7.51
2262,0.74,Very Good,G,SI,5.71,5.76
5091,1.16,Ideal,I,SI,6.71,6.67
1895,0.51,Very Good,G,VVS,5.09,5.06
3451,1.02,Ideal,J,VVS,6.45,6.37
2318,0.72,Premium,G,SI,5.8,5.74
672,0.35,Premium,E,SI,4.59,4.56
394,0.3,Good,J,VS,4.23,4.26
2175,0.7,Very Good,G,SI,5.64,5.67
741,0.33,Very Good,F,VS,4.35,4.39
506,0.3,Premium,J,VS,4.3,4.26
6779,1.07,Premium,G,VS,6.54,6.55
7575,1.01,Very Good,D,VS,6.34,6.3
4574,1.01,Good,H,SI,6.35,6.41
736,0.3,Ideal,E,VS,4.3,4.34
5143,1.06,Ideal,H,SI,6.56,6.49
1073,0.49,Premium,F,SI,5.09,5.04
2088,0.58,Ideal,F,VS,5.38,5.32
15992,2.07,Premium,I,SI,8.16,8.12
450,0.33,Premium,J,VS,4.53,4.49
1115,0.41,Ideal,F,VVS,4.78,4.8
9077,1.07,Ideal,D,VS,6.55,6.58
842,0.32,Very Good,G,VVS,4.37,4.4
7553,1.08,Ideal,G,VS,6.62,6.65
11588,1.44,Premium,G,VS,7.21,7.09
3340,0.92,Good,F,SI,6.11,6.14
7903,1.2,Ideal,D,SI,6.79,6.71
1153,0.41,Premium,E,VS,4.83,4.79
1138,0.52,Premium,H,SI,5.2,5.15
825,0.32,Ideal,E,VS,4.37,4.4
1624,0.5,Ideal,E,VS,5.11,5.14
13111,1.13,Very Good,D,VVS,6.64,6.67
1000,0.38,Ideal,E,VS,4.65,4.67
12210,2,Ideal,E,SI,8.04,7.94
2676,0.7,Very Good,G,VS,5.66,5.69
961,0.34,Ideal,D,VS,4.52,4.49
10473,1.53,Very Good,H,SI,7.3,7.34
5807,1.22,Ideal,I,SI,6.96,6.9
651,0.31,Premium,E,SI,4.38,4.34
1063,0.35,Ideal,D,VS,4.55,4.5
1604,0.55,Ideal,G,VS,5.28,5.31
1930,0.56,Premium,E,VS,5.23,5.28
3193,0.7,Good,D,VS,5.68,5.74
489,0.31,Premium,I,VS,4.4,4.45
827,0.41,Ideal,G,VS,4.75,4.78
2665,0.7,Ideal,F,SI,5.83,5.75
6706,1.08,Ideal,G,VS,6.62,6.59
2376,1.2,Fair,I,I,6.57,6.05
4363,0.85,Ideal,E,SI,6.07,6.1
1237,0.53,Very Good,G,SI,5.21,5.34
991,0.41,Very Good,H,VVS,4.82,4.86
1857,0.53,Ideal,D,VS,5.17,5.23
10346,1.6,Very Good,I,VS,7.61,7.68
4565,1.09,Ideal,J,SI,6.61,6.67
3971,1.01,Good,H,SI,6.23,6.31
4789,1.24,Very Good,J,SI,6.77,6.83
9116,1.71,Premium,I,VS,7.74,7.54
581,0.38,Very Good,I,SI,4.65,4.68
11206,1.52,Ideal,H,VS,7.49,7.41
487,0.37,Very Good,F,SI,4.6,4.7
2298,0.56,Ideal,G,IF,5.31,5.33
2662,0.7,Ideal,F,SI,5.72,5.75
3801,1.01,Fair,I,VS,6.29,6.2
741,0.33,Premium,E,VVS,4.44,4.47
737,0.39,Good,I,VS,4.68,4.61
1944,0.54,Fair,F,SI,5.11,5.05
827,0.41,Ideal,H,VS,4.77,4.81
544,0.31,Ideal,H,VS,4.3,4.37
15840,2,Very Good,E,SI,8.25,8.32
10853,1.7,Ideal,F,SI,7.73,7.65
907,0.31,Ideal,G,VVS,4.35,4.32
1819,0.56,Premium,G,VS,5.26,5.3
1229,0.4,Ideal,G,IF,4.73,4.76
3247,0.71,Ideal,E,VS,5.7,5.75
3471,0.8,Very Good,F,VS,5.86,5.92
14445,1.7,Good,G,VS,7.53,7.64
810,0.41,Ideal,G,SI,4.84,4.81
1387,0.51,Very Good,D,SI,5.08,5.03
1597,0.7,Premium,F,SI,5.78,5.68
3398,0.81,Ideal,G,VS,5.98,6
14215,2.3,Ideal,H,SI,8.4,8.35
2554,0.59,Very Good,F,IF,5.31,5.36
1039,0.4,Ideal,F,VVS,4.75,4.72
363,0.31,Very Good,J,SI,4.28,4.32
1636,0.58,Very Good,I,VVS,5.29,5.34
1014,0.34,Ideal,G,IF,4.47,4.48
4937,1.29,Very Good,G,SI,6.84,6.8
1920,0.51,Ideal,H,IF,5.1,5.13
10729,1.53,Premium,I,VS,7.3,7.34
7118,1.07,Very Good,F,VS,6.57,6.59
552,0.3,Good,D,SI,4.26,4.29
3664,0.91,Ideal,G,SI,6.18,6.22
5376,1.2,Premium,H,SI,6.81,6.76
759,0.44,Premium,H,SI,5.05,4.99
7103,1.51,Ideal,G,SI,7.37,7.31
1188,0.44,Ideal,G,SI,4.88,4.94
999,0.41,Ideal,E,VS,4.79,4.76
1151,0.41,Ideal,D,VS,4.78,4.82
10439,1.16,Ideal,F,VVS,6.7,6.78
558,0.31,Premium,H,SI,4.34,4.31
4940,0.9,Ideal,E,SI,6.21,6.24
558,0.31,Premium,I,VS,4.37,4.34
1397,0.4,Premium,G,IF,4.85,4.79
1013,0.36,Premium,E,VS,4.59,4.54
10905,1.55,Premium,D,SI,7.39,7.44
9513,1.51,Very Good,I,VS,7.34,7.25
5962,1.21,Premium,I,VS,6.82,6.79
4511,0.93,Ideal,E,SI,6.26,6.31
1004,0.39,Ideal,E,VS,4.68,4.7
8040,1.2,Ideal,G,VS,6.79,6.85
579,0.33,Good,E,SI,4.41,4.43
8924,1,Premium,F,VVS,6.56,6.52
2697,0.72,Very Good,D,VS,5.74,5.77
11389,1.71,Very Good,I,VS,7.53,7.45
2735,0.71,Premium,E,VS,5.7,5.66
6751,1.03,Ideal,F,VS,6.48,6.43
4278,1.07,Premium,G,SI,6.7,6.65
363,0.31,Premium,J,SI,4.36,4.38
7536,1.3,Premium,H,VS,6.92,6.95
16171,1.98,Premium,I,VS,7.95,7.99
1575,0.5,Ideal,E,VS,5.09,5.13
6486,1.05,Ideal,G,VS,6.52,6.56
8530,1.29,Premium,G,VS,7.02,6.97
4675,1.02,Ideal,E,SI,6.51,6.45
926,0.42,Very Good,F,SI,4.78,4.75
1699,0.5,Premium,E,VS,5.13,5.09
990,0.4,Ideal,D,SI,4.78,4.74
743,0.33,Premium,H,VS,4.47,4.44
1449,0.5,Ideal,G,VS,5.08,5.11
2803,0.91,Ideal,D,SI,6.21,6.15
3159,0.78,Ideal,E,VS,5.92,5.94
4391,1.21,Premium,I,SI,6.86,6.76
532,0.32,Ideal,E,SI,4.4,4.42
3105,0.72,Premium,F,VVS,5.78,5.72
1033,0.34,Ideal,E,VS,4.52,4.48
8024,1.02,Ideal,F,VS,6.45,6.52
2426,0.74,Very Good,H,SI,5.71,5.76
505,0.23,Very Good,E,VVS,3.9,3.95
625,0.31,Very Good,G,VS,4.3,4.35
942,0.31,Ideal,D,VS,4.32,4.29
737,0.3,Very Good,F,VVS,4.25,4.28
6132,1.01,Ideal,E,SI,6.47,6.52
4909,1.01,Premium,D,SI,6.5,6.46
1388,0.52,Good,E,SI,5.12,5.15
472,0.23,Very Good,D,VVS,4.01,4.02
3704,0.9,Premium,F,SI,6.2,6.11
2036,0.76,Very Good,J,VS,6.12,5.93
405,0.3,Good,I,SI,4.25,4.29
1574,0.51,Premium,D,SI,5.18,5.14
11924,1.7,Ideal,E,SI,7.73,7.83
8057,1.51,Very Good,J,VS,7.3,7.38
1182,0.6,Ideal,I,SI,5.43,5.46
2294,0.7,Ideal,H,SI,5.64,5.69
4772,1.15,Premium,H,SI,6.87,6.78
806,0.33,Ideal,E,VS,4.46,4.49
726,0.34,Ideal,F,VS,4.48,4.51
2676,0.91,Good,I,SI,5.98,6.05
9707,1.59,Premium,G,SI,7.51,7.45
